# mode    phonon energy (meV)    IPR
000         0.000000          63.002421
001         0.000000          63.000516
002         0.000000          62.998723
003         57.987409          19.943972
004         57.987409          19.944479
005         58.571375          20.988689
006         62.435962          28.074894
007         62.435962          28.075416
008         63.429076          34.937216
009         65.179732          37.557936
010         65.179732          37.558340
011         65.287599          39.677559
012         65.338432          41.070023
013         65.338432          41.069268
014         65.993069          42.976677
015         65.993069          42.977123
016         66.000508          47.433711
017         66.569595          40.637177
018         66.668783          42.356060
019         66.668783          42.356830
020         67.446164          33.223955
021         68.208666          39.079400
022         68.208666          39.079633
023         70.158938          38.238551
024         70.158938          38.239119
025         74.581454          26.515255
026         74.581454          26.515399
027         74.722796          16.271263
028         75.286924          40.333243
029         75.286924          40.332632
030         75.557210          38.080964
031         76.001073          7.734122
032         76.022151          33.800008
033         76.513128          36.520299
034         76.513128          36.520496
035         77.010305          47.876776
036         87.234041          33.863433
037         87.234041          33.863590
038         87.844044          33.206934
039         88.945023          37.046057
040         88.945023          37.045985
041         91.967758          39.374813
042         91.967758          39.374221
043         92.121499          41.319414
044         93.351422          38.513402
045         93.394816          35.827859
046         93.394816          35.827934
047         94.726407          38.737209
048         94.726407          38.736716
049         94.769801          46.867130
050         94.860309          46.368467
051         94.916102          33.405906
052         94.916102          33.404853
053         95.829866          38.164733
054         95.829866          38.164331
055         95.958809          27.422646
056         96.263811          40.204045
057         96.263811          40.203868
058         96.403913          44.796963
059         99.002622          39.490490
060         104.540996          40.436307
061         104.713334          38.114098
062         104.791444          40.178220
063         104.791444          40.178876
064         105.676691          41.044714
065         105.796956          39.221962
066         105.796956          39.222373
067         106.264376          41.135789
068         106.264376          41.136443
069         107.128546          38.298565
070         107.128546          38.299757
071         108.550645          28.544061
072         108.550645          28.544393
073         109.315627          30.607654
074         110.280224          31.607692
075         110.280224          31.607517
076         112.511940          36.707567
077         112.621046          36.660949
078         112.621046          36.660438
079         112.834299          39.095383
080         112.959523          30.018344
081         113.071108          34.414704
082         113.071108          34.414557
083         113.581923          38.857390
084         120.362619          34.667539
085         120.920548          28.612035
086         120.920548          28.610898
087         121.717766          37.426856
088         121.769840          29.155938
089         121.769840          29.155597
090         121.842990          20.623333
091         123.193178          25.825513
092         123.193178          25.825793
093         123.427508          25.829965
094         123.427508          25.830074
095         127.691325          46.307546
096         127.775634          46.822080
097         127.916976          33.341858
098         127.916976          33.341754
099         128.564174          39.497809
100         128.564174          39.497239
101         128.716674          48.942921
102         131.508798          41.912812
103         131.508798          41.912749
104         132.587461          41.414841
105         135.678387          26.225454
106         135.678387          26.225374
107         136.998819          12.940761
108         137.562947          31.445697
109         137.886546          19.677183
110         137.886546          19.677481
111         138.769313          41.861907
112         139.333441          41.097764
113         139.333441          41.097077
114         139.990557          31.463484
115         139.990557          31.464582
116         140.066188          28.236866
117         140.510051          30.839629
118         140.510051          30.838892
119         141.317188          31.945026
120         141.317188          31.944865
121         141.387859          24.931675
122         141.767251          22.477592
123         141.981744          26.362558
124         142.356176          27.067532
125         142.356176          27.067400
126         142.982296          36.991326
127         142.982296          36.990868
128         143.076524          36.213876
129         143.692725          39.714820
130         144.192382          30.370705
131         144.192382          30.370650
132         144.299008          32.721916
133         144.667241          17.044006
134         145.018117          39.517844
135         145.018117          39.518174
136         145.564887          29.797113
137         145.564887          29.797875
138         146.191007          29.701463
139         146.527004          27.799590
140         146.527004          27.800036
141         147.036579          30.714169
142         147.036579          30.714263
143         147.247352          38.299603
144         147.247352          38.299965
145         147.384975          31.526711
146         147.430849          33.929659
147         147.790403          31.572584
148         147.790403          31.573228
149         147.854875          25.290899
150         147.935465          42.872914
151         147.935465          42.871840
152         148.125161          48.298031
153         148.373129          28.535976
154         148.606219          31.120958
155         148.606219          31.120019
156         149.140591          31.773495
157         149.140591          31.774194
158         149.229860          36.770788
159         149.334006          40.165798
160         149.334006          40.166489
161         149.650166          45.408684
162         149.720837          31.753287
163         149.720837          31.752752
164         150.348197          25.958710
165         150.348197          25.958247
166         150.888768          44.360734
167         151.115659          29.916408
168         151.115659          29.917268
169         151.483892          27.292730
170         151.959992          37.000748
171         151.959992          37.000738
172         152.519161          36.429471
173         153.476319          47.537213
174         153.476319          47.537930
175         153.543270          35.550756
176         154.078882          42.711238
177         154.828986          17.437331
178         155.601408          17.302661
179         155.601408          17.302446
180         158.423288          55.457420
181         158.423288          55.458804
182         158.722090          45.405478
183         160.177664          53.583048
184         161.007119          46.120089
185         161.007119          46.120658
186         162.289115          46.595499
187         162.398221          47.597284
188         162.398221          47.596368
