# mode    phonon energy (meV)    IPR
000         -0.531074          62.967053
001         -0.530921          62.974019
002         -0.530921          62.974019
003         57.536135          17.267341
004         57.536135          17.267341
005         58.535913          18.274939
006         62.074280          27.020716
007         62.074280          27.020716
008         63.020127          36.550865
009         65.090556          36.969517
010         65.090556          36.969517
011         65.124257          39.734966
012         65.241835          40.932288
013         65.241835          40.932288
014         65.455263          42.838294
015         65.455263          42.838294
016         65.456214          47.315709
017         66.295004          42.689430
018         66.295004          42.689430
019         66.409401          42.278845
020         66.948048          32.534570
021         67.509408          39.356423
022         67.509408          39.356423
023         70.036049          38.184877
024         70.036049          38.184877
025         74.104940          26.211567
026         74.104940          26.211567
027         74.390504          16.808566
028         74.801857          38.952008
029         74.801857          38.952008
030         75.010097          37.263297
031         75.437342          7.303189
032         75.926906          32.972005
033         76.369993          35.389127
034         76.369993          35.389127
035         76.926275          47.758287
036         87.007466          33.647160
037         87.007466          33.647160
038         87.614529          29.710849
039         89.072588          38.059308
040         89.072588          38.059308
041         91.819772          31.065340
042         91.819772          31.065340
043         91.931251          32.816636
044         93.381781          38.658704
045         93.381781          38.658704
046         93.650119          39.509920
047         94.447760          29.681348
048         94.447760          29.681348
049         94.626194          44.508565
050         94.804158          40.432345
051         94.804158          40.432345
052         94.993160          47.755345
053         95.113451          29.125752
054         95.453711          39.918242
055         95.453711          39.918242
056         96.170245          37.811403
057         96.170245          37.811403
058         96.376929          45.862613
059         98.889914          39.074618
060         103.923487          43.520215
061         103.923487          43.520215
062         104.123832          40.704505
063         104.613932          41.216290
064         104.613932          41.216290
065         104.851607          38.694012
066         105.399449          41.856692
067         105.905499          43.369337
068         105.905499          43.369337
069         106.441816          38.192139
070         106.441816          38.192139
071         108.162025          26.781017
072         108.162025          26.781017
073         109.046865          30.803740
074         110.326852          31.454024
075         110.326852          31.454024
076         112.137970          37.088226
077         112.137970          37.088226
078         112.483426          38.367943
079         112.814061          40.670783
080         112.849183          42.870381
081         113.043451          33.689045
082         113.043451          33.689045
083         113.217066          39.396962
084         120.005287          31.155615
085         120.703334          28.547066
086         120.703334          28.547066
087         121.519418          32.758246
088         121.562796          21.313982
089         121.697663          28.971142
090         121.697663          28.971142
091         123.145636          33.208751
092         123.145636          33.208751
093         123.289203          31.447020
094         123.289203          31.447020
095         126.861172          47.354683
096         126.861172          47.354683
097         127.436404          45.551726
098         127.612060          47.147552
099         128.417953          41.142589
100         128.417953          41.142589
101         128.692138          48.338943
102         131.275350          42.162744
103         131.275350          42.162744
104         132.434184          41.033554
105         135.612556          25.099861
106         135.612556          25.099861
107         136.839665          12.683485
108         137.574862          31.055476
109         137.843179          18.999629
110         137.843179          18.999629
111         138.734247          43.828382
112         139.275221          40.631957
113         139.275221          40.631957
114         139.934009          29.540106
115         139.934009          29.540106
116         139.961804          27.226660
117         140.500368          31.919409
118         140.500368          31.919409
119         141.297289          24.913916
120         141.341612          31.346845
121         141.341612          31.346845
122         141.607034          22.338264
123         141.981575          25.605182
124         142.186461          26.377982
125         142.186461          26.377982
126         142.892533          37.152900
127         142.892533          37.152900
128         143.006196          32.120168
129         143.439020          36.033062
130         143.890621          26.752040
131         143.890621          26.752040
132         144.170816          28.637570
133         144.337170          19.972867
134         144.808910          40.085749
135         144.808910          40.085749
136         145.480998          32.021678
137         145.480998          32.021678
138         146.149779          28.393131
139         146.342066          29.371610
140         146.342066          29.371610
141         146.710684          32.199180
142         146.710684          32.199180
143         147.159621          34.311925
144         147.176791          41.779299
145         147.176791          41.779299
146         147.284934          29.159013
147         147.583377          26.241959
148         147.583377          26.241959
149         147.670219          26.541637
150         147.829106          41.343330
151         147.829106          41.343330
152         148.037721          47.521631
153         148.272873          28.730408
154         148.450274          32.303612
155         148.450274          32.303612
156         148.955414          25.705047
157         148.955414          25.705047
158         149.022715          38.273721
159         149.250227          40.647029
160         149.250227          40.647029
161         149.685106          45.557129
162         149.727290          33.188295
163         149.727290          33.188295
164         150.283171          25.295950
165         150.283171          25.295950
166         150.870222          44.752508
167         150.933813          29.958550
168         150.933813          29.958550
169         151.305745          28.286591
170         151.731799          39.387507
171         151.731799          39.387507
172         152.222499          38.528319
173         153.254265          39.685512
174         153.385666          47.151409
175         153.385666          47.151409
176         154.108906          42.776138
177         154.680053          17.739140
178         155.559726          17.207228
179         155.559726          17.207228
180         158.293876          54.847338
181         158.293876          54.847338
182         158.734122          45.386666
183         160.071559          53.980944
184         160.772867          47.309684
185         160.772867          47.309684
186         162.042085          44.646461
187         162.436703          47.287509
188         162.436703          47.287509
