# mode    phonon energy (meV)    IPR
000         -0.015840          62.973339
001         -0.015840          62.973339
002         -0.015273          62.973540
003         57.514838          22.740276
004         57.514838          22.740276
005         57.607238          17.323856
006         60.694398          25.833492
007         60.694398          25.833492
008         62.018738          33.474858
009         63.590253          29.225130
010         63.590253          29.225130
011         64.062021          40.988499
012         64.062021          40.988499
013         64.340962          39.719991
014         64.623975          43.522340
015         64.623975          43.522340
016         64.709515          39.664167
017         64.974580          38.315137
018         65.349097          44.719468
019         65.349097          44.719468
020         65.422554          34.925887
021         66.452914          37.496204
022         66.452914          37.496204
023         68.394398          38.213939
024         68.394398          38.213939
025         73.093710          18.409069
026         73.294821          26.916262
027         73.294821          26.916262
028         73.703034          41.694349
029         73.703034          41.694349
030         74.166560          37.939432
031         74.508942          33.561775
032         75.071248          36.903641
033         75.071248          36.903641
034         75.712121          47.249184
035         75.791740          7.191346
036         86.138954          34.156665
037         86.138954          34.156665
038         86.224622          31.656553
039         88.103212          39.146383
040         88.103212          39.146383
041         91.513198          36.749439
042         91.513198          36.749439
043         91.554436          37.760122
044         92.356671          39.113838
045         92.356671          39.113838
046         92.532680          35.638832
047         92.728157          35.645098
048         92.728157          35.645098
049         92.819361          25.492601
050         93.704494          39.890763
051         93.704494          39.890763
052         93.709009          39.200261
053         94.289743          36.862766
054         94.396596          30.718267
055         94.396596          30.718267
056         94.718408          39.583364
057         94.718408          39.583364
058         94.838905          25.932511
059         97.860117          39.133956
060         103.287173          41.434130
061         103.287173          41.434130
062         103.934499          40.707059
063         104.101187          38.876789
064         104.369011          39.771707
065         104.369011          39.771707
066         104.842627          41.502424
067         105.362761          42.960435
068         105.362761          42.960435
069         105.650637          41.949405
070         105.650637          41.949405
071         107.752956          27.442572
072         107.752956          27.442572
073         108.514737          30.651398
074         109.852459          32.069736
075         109.852459          32.069736
076         112.116414          26.935152
077         112.178025          38.253982
078         112.228483          36.454697
079         112.228483          36.454697
080         112.477050          40.815348
081         112.817466          34.771648
082         112.817466          34.771648
083         113.217098          36.659679
084         119.752722          30.594191
085         120.250787          32.542654
086         120.250787          32.542654
087         120.598689          20.103124
088         120.601739          31.458904
089         120.830887          33.853203
090         120.830887          33.853203
091         122.197583          24.655742
092         122.197583          24.655742
093         122.337290          25.185586
094         122.337290          25.185586
095         125.762438          51.182726
096         125.762438          51.182726
097         126.404000          48.224625
098         127.427369          53.696805
099         128.945015          48.837144
100         129.744294          37.051060
101         129.744294          37.051060
102         133.201209          42.208693
103         133.201209          42.208693
104         134.165352          42.811616
105         136.340218          27.940188
106         136.340218          27.940188
107         136.975763          24.954910
108         138.031182          31.892469
109         138.972843          20.195163
110         138.972843          20.195163
111         140.512675          29.847162
112         140.512675          29.847162
113         140.622516          44.149687
114         141.655782          22.681328
115         141.655782          22.681328
116         141.974935          38.375362
117         141.974935          38.375362
118         142.039781          23.863710
119         142.271369          28.604226
120         142.271369          28.604226
121         142.663258          34.024013
122         143.220299          29.682341
123         143.709263          25.392642
124         144.011418          29.525907
125         144.011418          29.525907
126         144.458779          30.025047
127         144.458779          30.025047
128         144.467232          21.535078
129         144.709319          41.130687
130         145.455317          29.201830
131         145.455317          29.201830
132         145.690659          35.895716
133         145.968346          31.675409
134         145.968346          31.675409
135         145.994022          37.893912
136         146.492207          43.189820
137         146.937969          24.078115
138         146.937969          24.078115
139         147.347085          31.958593
140         147.347085          31.958593
141         147.595662          36.510187
142         147.877731          41.753205
143         147.877731          41.753205
144         148.348964          29.912811
145         148.348964          29.912811
146         148.430506          25.428161
147         148.914207          32.982746
148         148.914207          32.982746
149         149.096543          29.512332
150         149.096543          29.512332
151         149.337305          36.231809
152         149.550035          36.289289
153         149.550035          36.289289
154         149.790773          27.142168
155         150.052199          34.702846
156         150.083074          42.813978
157         150.083074          42.813978
158         150.526360          28.214198
159         150.600766          26.956430
160         150.600766          26.956430
161         150.870382          32.432970
162         150.870382          32.432970
163         151.000376          44.798623
164         151.707561          47.294794
165         151.962283          25.754413
166         151.962283          25.754413
167         152.408644          23.894131
168         152.474898          18.663421
169         152.474898          18.663421
170         152.841352          43.050887
171         152.841352          43.050887
172         153.041556          41.336716
173         153.506650          41.854898
174         153.506650          41.854898
175         153.589789          25.613717
176         154.025205          44.481277
177         155.769442          20.174022
178         156.510149          17.518101
179         156.510149          17.518101
180         158.996366          44.555758
181         161.265566          39.814624
182         161.265566          39.814624
183         161.988120          37.586319
184         161.988120          37.586319
185         162.532041          49.111748
186         162.743504          48.420273
187         162.743504          48.420273
188         164.161972          51.221858
