# mode    phonon energy (meV)    IPR
000         -0.016011          62.973339
001         -0.016011          62.973339
002         -0.015438          62.973540
003         58.136015          22.740276
004         58.136015          22.740276
005         58.229413          17.323856
006         61.349915          25.833492
007         61.349915          25.833492
008         62.688558          33.474858
009         64.277047          29.225130
010         64.277047          29.225130
011         64.753909          40.988499
012         64.753909          40.988499
013         65.035863          39.719991
014         65.321933          43.522340
015         65.321933          43.522340
016         65.408396          39.664167
017         65.676324          38.315137
018         66.054886          44.719468
019         66.054886          44.719468
020         66.129137          34.925887
021         67.170625          37.496204
022         67.170625          37.496204
023         69.133078          38.213939
024         69.133078          38.213939
025         73.883143          18.409069
026         74.086426          26.916262
027         74.086426          26.916262
028         74.499048          41.694349
029         74.499048          41.694349
030         74.967580          37.939432
031         75.313660          33.561775
032         75.882040          36.903641
033         75.882040          36.903641
034         76.529834          47.249184
035         76.610313          7.191346
036         87.069280          34.156665
037         87.069280          34.156665
038         87.155873          31.656553
039         89.054752          39.146383
040         89.054752          39.146383
041         92.501567          36.749439
042         92.501567          36.749439
043         92.543250          37.760122
044         93.354150          39.113838
045         93.354150          39.113838
046         93.532060          35.638832
047         93.729648          35.645098
048         93.729648          35.645098
049         93.821837          25.492601
050         94.716529          39.890763
051         94.716529          39.890763
052         94.721093          39.200261
053         95.308099          36.862766
054         95.416106          30.718267
055         95.416106          30.718267
056         95.741394          39.583364
057         95.741394          39.583364
058         95.863192          25.932511
059         98.917035          39.133956
060         104.402704          41.434130
061         104.402704          41.434130
062         105.057021          40.707059
063         105.225510          38.876789
064         105.496226          39.771707
065         105.496226          39.771707
066         105.974958          41.502424
067         106.500709          42.960435
068         106.500709          42.960435
069         106.791695          41.949405
070         106.791695          41.949405
071         108.916719          27.442572
072         108.916719          27.442572
073         109.686728          30.651398
074         111.038897          32.069736
075         111.038897          32.069736
076         113.327303          26.935152
077         113.389580          38.253982
078         113.440583          36.454697
079         113.440583          36.454697
080         113.691835          40.815348
081         114.035927          34.771648
082         114.035927          34.771648
083         114.439876          36.659679
084         121.046086          30.594191
085         121.549530          32.542654
086         121.549530          32.542654
087         121.901189          20.103124
088         121.904273          31.458904
089         122.135896          33.853203
090         122.135896          33.853203
091         123.517352          24.655742
092         123.517352          24.655742
093         123.658568          25.185586
094         123.658568          25.185586
095         127.120709          51.182726
096         127.120709          51.182726
097         127.769199          48.224625
098         128.803621          53.696805
099         130.337659          48.837144
100         131.145570          37.051060
101         131.145570          37.051060
102         134.639820          42.208693
103         134.639820          42.208693
104         135.614376          42.811616
105         137.812731          27.940188
106         137.812731          27.940188
107         138.455141          24.954910
108         139.521958          31.892469
109         140.473790          20.195163
110         140.473790          20.195163
111         142.030252          29.847162
112         142.030252          29.847162
113         142.141280          44.149687
114         143.185705          22.681328
115         143.185705          22.681328
116         143.508305          38.375362
117         143.508305          38.375362
118         143.573852          23.863710
119         143.807940          28.604226
120         143.807940          28.604226
121         144.204063          34.024013
122         144.767119          29.682341
123         145.261365          25.392642
124         145.566782          29.525907
125         145.566782          29.525907
126         146.018975          30.025047
127         146.018975          30.025047
128         146.027520          21.535078
129         146.272222          41.130687
130         147.026276          29.201830
131         147.026276          29.201830
132         147.264161          35.895716
133         147.544847          31.675409
134         147.544847          31.675409
135         147.570799          37.893912
136         148.074365          43.189820
137         148.524941          24.078115
138         148.524941          24.078115
139         148.938476          31.958593
140         148.938476          31.958593
141         149.189738          36.510187
142         149.474853          41.753205
143         149.474853          41.753205
144         149.951176          29.912811
145         149.951176          29.912811
146         150.033599          25.428161
147         150.522524          32.982746
148         150.522524          32.982746
149         150.706829          29.512332
150         150.706829          29.512332
151         150.950191          36.231809
152         151.165219          36.289289
153         151.165219          36.289289
154         151.408557          27.142168
155         151.672806          34.702846
156         151.704014          42.813978
157         151.704014          42.813978
158         152.152088          28.214198
159         152.227298          26.956430
160         152.227298          26.956430
161         152.499826          32.432970
162         152.499826          32.432970
163         152.631223          44.798623
164         153.346047          47.294794
165         153.603519          25.754413
166         153.603519          25.754413
167         154.054701          23.894131
168         154.121671          18.663421
169         154.121671          18.663421
170         154.492082          43.050887
171         154.492082          43.050887
172         154.694449          41.336716
173         155.164566          41.854898
174         155.164566          41.854898
175         155.248603          25.613717
176         155.688722          44.481277
177         157.451797          20.174022
178         158.200503          17.518101
179         158.200503          17.518101
180         160.713573          44.555758
181         163.007280          39.814624
182         163.007280          39.814624
183         163.737639          37.586319
184         163.737639          37.586319
185         164.287434          49.111748
186         164.501180          48.420273
187         164.501180          48.420273
188         165.934969          51.221858
